garcia, maria
prince, prinz
karl, maria
karl, paul
baron, karl
carlos, santos
madeleine, marie
catherine, marie
marguerite, marie
allen, charles
charles, stanley
charles, james
charles, earl
charles, stanley 
charles, earl
catherine, marie
david, daniel
earl, henry
earl, baron
earl, charles
earl, edward
elisabet, isabel
elisabeth, isabel
glücksburg, sonderburg
giovanni, ivan
hans, johannes 
hans, hermann
heinrich, friedrich
hessen, kassel
ioannes, ivan
johann, hermann
john, count
john, brown
john, young 
john, johnson 
jose, jesus
karl, maria
louis, count
löwenstein, wertheim
macdonald, donald
marie, caroline
marie, charles
marie, madeleine
marie, anne
marie, madame
marie, gabrielle
marie, laure
marie, maurice
marie, catherine
marie, marguerite
marie, gabriel
mary, emily
mary, clare
mary, lady
mary, sarah
mary, murray 
mary, moore
mohammed, ahmed
mohamed, ahmed
prinz, franz
richard, edward
richard, michael
robert, baronet
santa, maria
santa, maría
sarah, mary
william, wallace
william, hill
william, wilson
william, miller
zhang, zhao
zhang, chang
zhang, jing
zhang, hong
zhang, xiang
zhang, jian
zhang, ying
zhang, sheng
zhang, تشانغ
zhang, zhong 
zhang, wang 
zhang, chen
zhang, xuan
zhang, cheng
zhang, yong
zhang, qing
zhang, yuan
zhang, zhen
élisabeth, isabel
elisabeth, isabel
anna, maria
anna, hanna
anna, maría
anne, maria
anne, hanna
anne, maría
baron, karl
chen, chan
chen, chang
chen, чэнь
chen, zhang
count, john
count, louis
david, daniel
edward, richard
edward, earl
jean, paul
heinrich, friedrich
jean, paul
saud, aziz
maria, teresa
karl, georg
earl, george
lord, baron
pope, papa
anne, maria
anna, maria
vlad, tepes
xaver, franz
abdullah, allah
ahmad, muhammad
ahmed, muhammad
albert, robert
sofia, maria
savoia, maria
santos, marcos
santos, antônio
robert, albert
richard, michael
michael, carl
richard, michael
maría, austria
martínez, maría
martín, maría
maría, rosario
maría, santa
mary, lady
martin, mary
martin, garcia
marquis, louis
marquis, marie
marie, alice
marie, adrien
marie, gabrielle
marie, paule
marie, marc
marie, charles
marie, anne
marie, gabriel
marie, marcel
marie, laure
marie, caroline
maria, rita
maria, sofia
maria, carl
maria, austria
maria, martinez
maria, gabriella
maria, julia
maria, karel
karel, maria
juan, guzman
juan, ivan
gomez, jose
josé, jesus
josé, sousa
josé, lopez
josé, rosa
josé, conde
josé, costa
josé, fonseca
josé, lopes
jane, anne
jane, frances
john, born
john, johnston
john, jonathan
robin, john
jock, john
jakub, james
james, samuel
james, jackson
james, jones
james, davis
james, cameron
james, innes
james, baker
james, adams
james, davies
james, jacob
james, palmer
jane, anne
jane, frances
ivanov, ivanov
ivan, иванов
isabel, elizabeth
isabel, elisabeta
isabela, elizabeth
isabela, elisabeta
wiktorowna, irina
ioan, chuan
ignacio, garcia
hông, hoàng
hông, fòng
hông, huòng
hông, hapon
hông, thánh
howard, richard
howard, edward
hoffmann, johann
hermann, franz
henry, general
george, geoffrey
georges, charles
george, moore
gaius, julius
garcía, mario
garcía, gabriel
garcía, ignacio
franz, frank
davis, david
david, ward
charles, hughes
charles, warren
oscar, carl
carl, baron
maria, barbara
anna, johanna
anne, frances
anne, jane 
anne, laure
angel, sanchez
allan, william
ahmad, khan
ahmad, shah
ahmad, syed
ahmed, khan
ahmed, shah
ahmed, syed
abdallah, allah
anders, andersson
fred, alfred
